,uid,artist,title,artist_uri,album_uri,item_uri,tags
1718,152503,7FO,Ougon No Yuge (?????),spotify:artist:3X4x7BzA0xX9wmINH9wWTc,,,[]
1719,150218,Andrea Belfi,Lead,spotify:artist:2lktSq1VE3OezchJvi3D8X,spotify:album:3IzRFDf87BYFE7wQnPy93Q,spotify:track:1RZ23fSxWl25Jmpca4sYRa,"['italian experimental', 'modern electroacoustic']"
1720,153253,Holly Herndon,Chorus,spotify:artist:2c9yn5DJQd5es7YMY92ikZ,spotify:album:0pyZXMW56SpT2iO2rMYmPH,spotify:track:1xy53q4YBlrjITp2ER0uRN,"['ai', 'art pop', 'deconstructed club', 'electra', 'experimental vocal', 'fluxwork']"
1721,158505,Yasmin Williams,Sunshowers,spotify:artist:4j8CsPzssbM8TCjSvgnmSs,spotify:album:233gqBTj1syIvhppH8NV7w,spotify:track:4SEVKw96zpkG3TOAcNq8Zn,"['experimental guitar', 'pastoral']"
1722,158499,Meriheini Luoto,Metsänpeitto IV,spotify:artist:2HSrUu5gnGYED8x1ctChIA,spotify:album:6WwnK0AbXYGZQbpPtvHEBp,spotify:track:61d8IKXsqQsxonWz5KPomg,"['finnish contemporary classical', 'finnish experimental']"
1723,158108,Sarah Kirkland Snider,Mass for the Endangered: Kyrie,spotify:artist:1NyStz4hQEZr2ahU5ADzw9,spotify:album:6SlrR0NmvN4NDozXQumRAi,spotify:track:5Z54ioJxpohOVROXyk2qTg,"['21st century classical', 'american 21st century classical']"
1724,158506,Yasmin Williams,I Wonder,spotify:artist:4j8CsPzssbM8TCjSvgnmSs,spotify:album:233gqBTj1syIvhppH8NV7w,spotify:track:2PQ2Jfgfbwrq2VTyMoqs7p,"['experimental guitar', 'pastoral']"
1725,125896,Nils Frahm,Familiar,spotify:artist:5gqhueRUZEa7VDnQt4HODp,spotify:album:3AioJfZ8LfEzPaFPQHoe3e,spotify:track:5Yy0R2CLFPXfrBPLnsI1zN,"['compositional ambient', 'electronica', 'neo-classical', 'neoclassical darkwave']"
1726,150527,Thor & Friends,Grassfire,spotify:artist:7dXTHkVx97Bwu6Vk1TcRwq,spotify:album:1wnntQFtkZJpQpY3OTI1QR,spotify:track:3qWaIt42t41AERD3NmeGNV,['post-minimalism']
1727,136812,Arcade Fire,Her: Loneliness #3,spotify:artist:3kjuyTCjPG1WMFCiyc5IuB,,,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock', 'stomp and holler']"
1728,150133,The Heliocentrics,The Silverback,spotify:artist:6Gujb3D3UJuIBtTCCK2Hnv,spotify:album:0R1du3OpntlnAoctD8EL1a,spotify:track:4dPO5eGX1h6axmwfsgAWGp,"['afrobeat', 'british jazz', 'indie jazz', 'neo-psychedelic', 'psychedelic jazz fusion']"
1729,158657,Lara Jones,Pillow,spotify:artist:297dyGtN2l4V4bcJur3QbY,spotify:album:2G6Ex984jlHRiA2p5m6v0i,spotify:track:1xpaV7oDri7IrJJr7nQPmD,[]
1730,148577,Cliff Martinez,The Knick: Son of Placenta Previa,spotify:artist:2OVqg3lxC8ZIf0vHcEqaCf,,,['soundtrack']
1731,148830,Bell Orchestre,Les Lumieres Pt. 1,spotify:artist:1eGeixtxaPiyKM6CPVANqr,,,"['bow pop', 'canadian post-rock']"
1732,152712,Jlin,Nyakinyua Rise,spotify:artist:23QKqAkKwti9zBiac6RFBA,spotify:album:6m5Jy89Af4LWormzjaMPKd,spotify:track:4H3JrhfWm8h6FILr2Theml,"['afrofuturism', 'art pop', 'deconstructed club', 'electra', 'fluxwork', 'footwork', 'intelligent dance music', 'uk bass']"
1733,149625,Emily Wells,Symphony 10 Could This Really Be the End,spotify:artist:0tKasOjdZBjHJCMsalvvjb,spotify:album:2Fa0kSMEF7RONlbtZ5DHRb,spotify:track:2s1RGtEhyiXBW36URDVaLk,['folktronica']
1734,149624,Emily Wells,Symphony 2 & The Click Boom Boom,spotify:artist:0tKasOjdZBjHJCMsalvvjb,spotify:album:2Fa0kSMEF7RONlbtZ5DHRb,spotify:track:1ZNV8xKkpGyz7xzjgw1B2y,['folktronica']
1735,150540,Colleen,I'm Kin,spotify:artist:19yYfBfYNV2XUJvo8pfKvK,,,['instrumental lullaby']
1736,152574,Nicole Mitchell,Forest Wall Timewalk,spotify:artist:218pLy5tj6iFQ4e6c2ije6,,,['free jazz']
1737,133824,Dirty Projectors,While You're Here,spotify:artist:5VF0YkVLeVD4ytyiyVSIiF,spotify:album:09iHW9BRa1mSnatwx5i5Aj,spotify:track:1IXvQ1ml6DSyGbpJaUrSZu,"['art pop', 'brooklyn indie', 'experimental pop', 'indie pop', 'indie rock']"
1738,115978,Angelo Badalamenti,The City of Lost Children: Suite,spotify:artist:3Eeb1U0VJTDaFpBHV4DmHl,spotify:album:0l9CVBCpn9rp6UcpG6gTOM,spotify:track:5R2s6b9ZY4ALi3jMvycbG9,"['dark jazz', 'soundtrack']"
1739,151643,Moira Smiley,Bellow,spotify:artist:035KHOtaTMMoN7YASM6mwk,spotify:album:087UWr6LzYgmJxp1jy03b7,spotify:track:2UFhyXfnlO8K2pRYQFBlxs,[]
1740,134163,Colleen,Sun Against My Eyes,spotify:artist:0mOPHkTHaD6cFTMODNBxA3,spotify:album:24m7WriHoG6qPlPIkqlCjS,spotify:track:1025WOZJReV461w7Rf0M5k,"['ambient', 'art pop', 'compositional ambient', 'drone', 'electra', 'experimental pop', 'folktronica', 'fourth world', 'neo-classical']"
1741,148456,Carla Kihlstedt,Rooting For The Shy Librarian,spotify:artist:3YCyK8NZhGV3lFNX12DfA9,,,"['jazz violin', 'laboratorio']"
1742,148285,Maria Huld Markan Sigfusdottir,Aequora,spotify:artist:5av1vXlTFqanXU3g9k4tlQ,spotify:album:2Exgfmon4d4bbj7ACPw9DT,spotify:track:5gOHrTRG3A0bhtOFcdA4Ww,['icelandic classical']
1743,138015,Robert Honstein,I am hidden my dear for you!!!!!!!,spotify:artist:5k0a1vcE8xy3aFKQxmKsba,spotify:album:4vqPYEYVz2aER9GeEStrXc,spotify:track:1SQOYrbXM4TdIe46NyBOjV,['american 21st century classical']
1744,152783,Tunto,Lagoon Music,spotify:artist:3NaIM9n2uUuBdKSgHrZ2nk,spotify:album:6p8NzA15kPVEg48QZPrbjW,spotify:track:0Aqq7K4w6ujbTwAuiCub4r,[]
